button | Previous, FX 2, デッキ 1 | pos=276,518 | size=44x33
button | Flanger, FX 2, デッキ 1 | pos=319,518 | size=191x33
button | Next, FX 2, デッキ 1 | pos=509,518 | size=44x33
button | Enabled, FX 2, デッキ 1 | pos=292,561 | size=44x33
slider | Parameter, FX 2, デッキ 1 | pos=351,556 | size=117x43
slider | Wet/dry, FX 2, デッキ 1 | pos=496,561 | size=33x33
button | Previous, FX 3, デッキ 1 | pos=553,518 | size=44x33
button | Bit Crusher, FX 3, デッキ 1 | pos=596,518 | size=191x33
button | Next, FX 3, デッキ 1 | pos=786,518 | size=44x33
button | Enabled, FX 3, デッキ 1 | pos=569,561 | size=44x33
slider | Parameter, FX 3, デッキ 1 | pos=628,556 | size=116x43
slider | Wet/dry, FX 3, デッキ 1 | pos=773,561 | size=33x33
button | Manual FX | pos=885,561 | size=75x32
button | Instant FX | pos=960,561 | size=75x32
button | Previous, FX 1, デッキ 2 | pos=1090,518 | size=44x33
button | Echo, FX 1, デッキ 2 | pos=1133,518 | size=191x33
button | Next, FX 1, デッキ 2 | pos=1323,518 | size=44x33
button | Enabled, FX 1, デッキ 2 | pos=1106,561 | size=44x33
button | FX 1 Parameter minus, デッキ 2 | pos=1160,556 | size=31x43
button | FX 1 Parameter plus, デッキ 2 | pos=1250,556 | size=31x43
slider | Wet/dry, FX 1, デッキ 2 | pos=1310,561 | size=33x33
button | Previous, FX 2, デッキ 2 | pos=1367,518 | size=44x33
button | Flanger, FX 2, デッキ 2 | pos=1410,518 | size=191x33
button | Next, FX 2, デッキ 2 | pos=1600,518 | size=44x33
button | Enabled, FX 2, デッキ 2 | pos=1383,561 | size=44x33
slider | Parameter, FX 2, デッキ 2 | pos=1442,556 | size=116x43
slider | Wet/dry, FX 2, デッキ 2 | pos=1587,561 | size=33x33
button | Previous, FX 3, デッキ 2 | pos=1644,518 | size=44x33
button | Bit Crusher, FX 3, デッキ 2 | pos=1687,518 | size=191x33
button | Next, FX 3, デッキ 2 | pos=1877,518 | size=43x33
button | Enabled, FX 3, デッキ 2 | pos=1660,561 | size=44x33
slider | Parameter, FX 3, デッキ 2 | pos=1719,556 | size=116x43
slider | Wet/dry, FX 3, デッキ 2 | pos=1864,561 | size=32x33
slider | サンプラー音量 | pos=42,608 | size=161x44
button | Metronome | pos=218,613 | size=54x33
button | 124.0 | pos=288,613 | size=102x33
button | Record | pos=405,613 | size=54x33
button | オプション | pos=458,613 | size=33x33
button | Sampler | pos=902,613 | size=54x33
button | Looper | pos=964,613 | size=54x33
button | Essentials | pos=1642,613 | size=193x33
button | 編集 | pos=1850,613 | size=54x33
button | Air Horn | pos=0,657 | size=240x42
button | Uhh | pos=240,657 | size=240x42
button | Echo Bleep | pos=480,657 | size=240x42
button | Chord 1 | pos=720,657 | size=240x42
button | Spaceship | pos=960,657 | size=240x42
button | Impact | pos=1200,657 | size=240x42
